ID: F83164B2F180
Status,Timestamp

CLOSED,2026/04/02 13:06:14
OPEN,2026/04/02 13:06:14
CLOSED,2026/04/02 13:06:18
OPEN,2026/04/02 13:06:18
CLOSED,2026/04/02 13:06:25
OPEN,2026/04/02 13:06:25
CLOSED,2026/04/02 13:06:32
OPEN,2026/04/02 13:06:32
CLOSED,2026/04/02 13:06:39
OPEN,2026/04/02 13:06:40
CLOSED,2026/04/02 13:06:46
OPEN,2026/04/02 13:06:46
CLOSED,2026/04/02 13:06:54
OPEN,2026/04/02 13:06:54
CLOSED,2026/04/02 13:07:00
OPEN,2026/04/02 13:07:00
CLOSED,2026/04/02 13:07:10
OPEN,2026/04/02 13:07:10
CLOSED,2026/04/02 13:07:22
OPEN,2026/04/02 13:07:26
CLOSED,2026/04/02 13:07:26
OPEN,2026/04/02 13:07:37
CLOSED,2026/04/02 13:07:37
OPEN,2026/04/02 13:07:56
CLOSED,2026/04/02 13:07:56

CLOSED,2026/03/23 22:17:12
OPEN,2026/03/23 22:17:12

CLOSED,2026/04/03 08:48:49
OPEN,2026/04/03 08:48:49

CLOSED,2026/04/03 08:57:45
OPEN,2026/04/03 08:57:45
